Description,Location,Name,Price,CreatedAt,UpdatedAt,Status,Category,Views,HouseType,LatLng_Lat,LatLng_Lng,Gender
"Quarto individual barato e muito bem localizado em um lugar seguro no coração do rio de janeiro
","Rua Mariz e Barros - Maracanã, Rio de Janeiro - RJ, Brasil",Quarto individual,600,2020-10-20 23:50:13.9642563,2020-12-13 08:15:32.1055366,Inactive,2,262,0,-22.9144193,-43.2193136,2
"O Ambiente é ideal para estudantes e ou profissionais que desejam um lugar tranquilo para estudar e ou descansar. Máximo de quarto moradores. Apartamento todo mobiliado e cozinha toda equipada. Próximo a bancos, supermercados, academias e farmácias. 
Não aceitamos hospedes para dormir. ","Rua Desembargador Lima Castro - Fonseca, Niterói - RJ, Brasil",Vaga feminina,700,2020-10-21 00:07:11.8518506,2020-10-21 00:33:27.1117633,Deleted,1,767,0,-22.8855092,-43.0862686,1
"Apartamento ideal para estudantes e ou profissionais que buscam um lugar tranquilo para estudar e ou descansar. A suíte é pequena mas há mesa para estudar no apt. 
Prédio bem localizado, próximo a mercado, farmácia e academias. Fácil acesso para o Rio, SG e centro de Niterói. ","Rua Desembargador Lima Castro - Fonseca, Niterói - RJ, Brasil",Vaga feminina,600,2020-10-21 00:41:57.0812582,2021-04-15 22:58:11.9743717,Inactive,0,825,0,-22.8855092,-43.0862686,0
Quartos individuais mobiliados próximo UFF Plaza shopping estação barcas com contas inclusas,Rio-de-Janeiro,Quartos ,80000,2020-10-25 08:21:12.7615381,,Deleted,0,0,0,-22.9068467,-43.1728965,0
"oie, 

tem um quarto vago no meu apartamento. não é república. são três quartos, uma pessoa em cada quarto. 
moro no Ingá, na Tiradentes. aqui é bem tranquilo. 
sou legal e faço bolinhos. só não pode bichinho! 😕 
o quarto está vazio, essas fotos são do meu.. 

valor R$900 + contas (gira em torno de uns 150 reais).","Rua Tiradentes - Ingá, Niterói - Rio de Janeiro, Brasil",Quarto individual no Ingá ,900,2020-10-31 15:42:28.1790368,2020-10-31 15:52:57.2668899,Published,1,2511,0,-22.9014003,-43.1246191,1
fdgfdgdfg,Rio-de-Janeiro,test1,1200,2020-11-01 04:01:47.7283546,2020-11-16 07:54:47.4832227,Inactive,0,7,0,-22.9068467,-43.1728965,0
"Ofereço Vaga individual na Via Norte, perto do Atacadão. Casa completamente mobiliada. Incluso no valor, aluguel, agua, luz, mobília, wifi.
Entrada para 15 de marco. 
Enteresados mandar whatsapps 16981174810","Ribeirão Preto - SP, Brasil",Quarto individual,550,2020-11-09 00:41:13.8719065,2020-11-09 01:00:06.9514225,Published,0,45,1,-21.1704008,-47.8103238,0
"Quarto suite com cama de casal, escrivaninha, criado mudo, mancebo, luminaria para estudar, abajur.
Se procura alguem que justifique renda, trabalhe e tenha o nome limpo e fique por bastante tempo","Ribeirão Pires, SP, Brasil",Suíte com cama de casal,850,2020-11-09 00:47:49.9989078,2020-11-09 00:59:25.3096892,Deleted,0,494,0,-23.7081651,-46.4042434,0
"Oi pessoas ,tudo bem ? 

Me chamo Mauricio e estou alugando um quarto no meu ap. O ap fica há 2 quadras da praia de icarai ,com comércio de roupas , padarias , farmácias , supermercados , bancos, tudo isso bem próximo . Você consegue fazer tudo a pé . Ponto de ônibus para toda Niterói e RJ a poucos metros.

Pra você que gosta de paz e tranquilidade o ap é bem silencioso. O ap fica na rua Lopes Trovão muito bem localizado, no miolo de icarai!

Procuro pessoas que prezem pela limpeza e organização do ap . 

LGBTQIA+ e anti Bolsonaro ❤️

Aluguel + condomínio + gás + internet : 1000. ( gás encanado e internet de 35 megas com wifi disponível!) 

A Luz como o valor varia com o uso e será dividido para 2. 

A minha intenção é que você se sinta em casa , assim como eu! 

Para mais informações me manda uma mensagem👍🏻","Icaraí, Niterói - Rio de Janeiro, Brasil",Quarto semi mobiliado ,1000,2020-11-09 00:58:48.3920208,2020-11-09 01:23:39.6106784,Published,0,1060,1,-22.9043971,-43.1093638,0
"Loft novinho, pronto para mudar:)
Frigobar, cook top, antena tv, internet 400 mega, mobiliário e decoração. O banheiro e do tamanho de um quarto! Closet equivalente a 12 portas de armário! Mesa de estudo, ar refrigerado split e muito charme. Conutri com área de serviço e cozinha também para uso dos moradores. Uma foto da nossa casa também para conhecerem o lugar que fica no melhor ponto de São Francisco. Quer garantir? $ 1600,00 + condomínio. Passa uma mensagem para gente: 21 98141.9806","sáo francisco, niterói",Loft incrível no melhor ponto de São Francisco!,1600,2020-11-12 16:15:39.4293527,2020-11-12 16:28:08.6033129,Published,1,866,0,-22.9172755,-43.0902716,1
Quartinho de dependência mobiliado com banheiro,"Icaraí, Niterói - RJ, Brasil",Quartinho Dp,65000,2020-11-12 18:01:51.0225969,,Inactive,2,1,1,-22.9043971,-43.1093638,2
"Quarto possui :
Cama, guarda roupa,  mesa, cadeira,  ventilador e ar condicionado ","Ilha do Governador, Rio de Janeiro - RJ, Brasil",Quarto indivídual ,900,2020-11-16 21:32:53.8869648,2020-11-17 00:46:45.7131976,Published,2,1085,0,-22.8052385,-43.2086085,2
"Alugo quarto mobiliado no Engenho Novo, completo com cama, armário, cômoda e internet. Poderá utilizar todas as dependências da casa que estão mobiliadas! procuro uma pessoa sem vícios, tranquila e de boa convivência. Tem comércio próximo e transporte para o centro do Rio na porta do prédio.","Engenho Novo, Rio de Janeiro - RJ, Brasil",Alugo quarto mobiliado,600,2020-11-17 14:39:45.1039787,2020-11-17 18:16:21.7420829,Published,0,1078,1,-22.9081076,-43.2678442,0
"Vagas Masculinas e Femininas. 
Quartos independentes, com acesso pela lateral da casa.  
Fica no Bairro de Fátima quase esquina com a Marques de Paraná
:
Quarto individual de R$700,00 por 550,00
Vaga em Quarto Compartilhado por R$400,00
Com entrada independente por fora da casa e com todas as taxas inclusas. A internet é de 120 megas.
Temos também uma Quitinete Grande com Varandão de R$1200,00 por R$1.000,00 já com todas as taxas também inclusas, inclusive internet.

Ambiente bem familiar. Quintal com árvores frutíferas, churrasqueira, jardim com mesinha e banquinhos para relaxar ouvindo os passarinhos ou para bater um papo com amigos, bem localizado, no miolo de Niterói , fácil acesso a ponte Rio X Niterói, pertinho de Icaraí, 10 min a pé das barcas, duas quadras do mercado Guanabara, padaria  na esquina de casa, farmácia, refeição caseira em frente... um lugar tranquilo com muito verde, animais de estimação, passarinhos cantando... tudo isso bem no centro de Niterói. 
Ambiente de harmonia e aconchego, ideal para estudantes ou pessoas que trabalhem fora.
Interessadas entrar em contato com Rachel pelo número de wpp .
Aceitamos seu amiguinho peludo vacinado.
Sem nenhum tipo de preconceito, respeitando apenas as regras de organização, tranquilidade, harmonia e bem estar comum em primeiro lugar. Não alugamos para bolsominions, somente pessoas que respeitam umas as outras.","Fátima, Niterói - RJ, Brasil",Vila Casa Amarela,400,2020-11-17 20:56:36.4966090,2020-11-18 02:32:00.6703932,Published,0,1137,0,-22.893735,-43.1111531,0
"Nosso apê está com uma vaga de quarto individual pra entrada imediata. Ao todo seremos quatro meninas: Eu, a Mariana, a Talissa e a menina que quiser se juntar a nós. Procuramos uma menina tranquila e organizada. Cada uma tem o seu cantinho no apê e prezamos pela boa convivência e bom senso, sem muitas regras. O prédio fica na Boa Viagem, tem porteiro 24h, academia e um play grande, também fica ao lado do campus Praia vermelha e bem próximo do direito, gragoatá e valonguinho. O quarto já tem um armário planejado bem grande, cama e uma mesinha de cabeceira. O preço da vaga fica em R$1.150,00 e inclui aluguel, condomínino, IPTU e água, ficando de fora só as contas de luz, gás e internet que costumam vir por volta de 90 reais ao todo. Quem tiver interesse, pode falar comigo por inbox.","Rua Edmundo March - Boa Viagem, Niterói - RJ, Brasil",✨VAGA INDIVIDUAL FEMININA✨,1150,2020-11-18 13:42:29.4865808,2021-03-13 04:30:55.1736699,Inactive,1,2205,1,-22.9060048,-43.1311912,1
"Gente, vagou um quarto individual aqui em casa. Fica em Icaraí perto da reitoria da UFF (duas quadras de distância). É o maior quarto da casa, amplo, com ventilador, escrivaninha, cama e guarda-roupa já prontos, só chegar. Caso a pessoa queira personalizar o quarto a seu jeito, não tem problema. O quarto possui internet cabeada (50mb) pra quem gosta de e-sports e precisa de uma internet estável. 
O apartamento fica bem no miolo do bairro, tem padaria embaixo, supermercados, hortifrutis, mercearias, tudo de comércio a menos de um quarteirão de distância. 
Não tem muita regra, exceto as básicas de convívio pra manter a casa organizada.","Rua Doutor Tavares de Macedo - Icaraí, Niterói - RJ, Brasil",Quarto individual em Icaraí,1100,2020-11-19 14:47:00.3478735,2020-11-19 16:20:54.9594710,Deleted,0,972,1,-22.9041926,-43.1116348,0
"Amplo e arejado , quarto mobiliado, tipo home office, localizado em uma grande casa no bairro do Grajaú","Rio de Janeiro, RJ, Brasil",Quarto home office,900,2020-11-21 08:32:47.3858605,,Inactive,0,5,0,-22.9068467,-43.1728965,0
Um imovel para pessoa ficar só com toda privacidade,Rio-de-Janeiro,IndividualÉ,700,2020-11-21 23:46:29.6688287,,Inactive,0,5,1,-22.9068467,-43.1728965,0
"Alugo quarto individual com banheiro compartilhado para rapazes. Bairros:  Guanabara próximo ao Mackienze e Jardim Chapadão próximo a Av Brasil. Imóveis com cozinha compartilhada com geladeira, fogão, microondas e todos os utensílios. Área de serviço comunitária com tanque e máquina de lavar roupas. Casas amplas e confortáveis muito bem localizadas. Internet de 120 mega. Facilidade para varias linhas de onibus. Várias conveniências nas proximidades. Fotos e maiores informações entre em contato por whattsapp.","Campinas, SP, Brasil",Vaga para rapazes,900,2020-11-23 14:03:32.1499240,2020-11-23 14:16:30.6103849,Published,2,169,0,-22.9329252,-47.073845,2
Suite ampla e confortavel em casa toda mobiliada. Casa com garagem disponivel e internet 120 mega com Wi-Fi. Ficamos localizados no bairro Santa Genebra ao lado do Shopping d. Pedro em Campinas. Excelente localização com tudo perto.,"Campinas, SP, Brasil",Suite para publico feminino,1150,2020-11-23 14:17:11.8011994,2020-11-23 14:25:00.1505896,Published,1,171,0,-22.9329252,-47.073845,1
"Alugo quarto individual no Meier, de fundos, sol da manhã, silencioso, ambiente excelente pra quem está estudando, na rua Jacinto, espaçoso, arejado, para moça que trabalhe ou estude fora sem vícios, com Wi-Fi, cama, gaveteiro, armário de quatro portas, espelho, mesa de escritório com cadeira, cozinha equipada com todos os utensílios, lavanderia com máquina de lavar, podendo cozinhar e lavar roupa, perto do Centro Cultural João Nogueira, cinema Imperator, academia Smart Fit, Shopping, farmácia Pacheco, padaria Rainha do Meier, ponto nobre do bairro, transporte e comercio na porta.

650,00 + dividir contas

Zap: (21) 98775-9204","Rua Jacinto - Méier, Rio de Janeiro - RJ, Brasil",Alugo quarto individual para moças no Meier,650,2020-11-23 22:00:10.3434350,2020-11-24 00:24:28.1352009,Published,1,998,1,-22.9033436,-43.2813691,1
"ou professor da UFRJ e busco alguém para dividir casa na Ilha do Governador no Bairro Portuguesa em frente ao MC Donalds.
Se trata de uma suíte mobiliada, com sala de estudos, closet e banheiro grande sendo um andar inteiro da casa) no valor de R$ 1100,00 o valor esta incluso água e internet Fibra, apenas será dividido o valor da luz.
A casa fica em condomínio fechado possui um terraço com área para churrasco e academia e cozinha.
Uma cozinha grande com microondas, geladeira, forno elétrico, pena elétrica para arroz e sanduicheira.
Mesa grande de jantar e o sofá será comprado no começo do mês de dezembro.
Não tenho preconceitos e a comunidade LGBT é muito bem vinda.","Ilha do Governador, Rio de Janeiro - RJ, Brasil",Suíte com sala de estudos e closet,1100,2020-11-25 16:21:19.8112944,2020-11-25 16:28:30.4906963,Published,0,897,0,-22.8052385,-43.2086085,0
"Alugo Quarto individual taxas inclusas internet, cozinha, lavanderia, banheiro, pode receber visita
Rua saint roman essa rua começa em Copacabana e termina em Ipanema","Copacabana, Rio de Janeiro - RJ, Brasil",Alugo Quarto individual Copacabana ,800,2020-11-26 00:39:10.2383894,2020-11-26 00:46:41.1721239,Deleted,0,1048,0,-22.9694417,-43.1868448,0
2 quartos mobiliados para locação sendo 1 suíte,"Taboão da Serra, SP, Brasil",Quarto para locação próximo ao Shopping Taboão,1200,2020-11-26 17:25:37.4857175,2020-11-26 17:33:57.6636504,Published,0,671,1,-23.6228759,-46.7816647,0
"Ola pessoal!!!
Temos quartos ao lado do metro liberdade. 
Quartos individuais em República. 
Mobiliados com cama e guarda roupa de solteiro. 
Banheiros Cozinha (equipada) e lavanderia (máquina de lavar) Coletivos. Próximo ao hospital Leforte, mercados, padarias e drogarias .
 A partir 430 incluso água luz e WI-FI.
Rua Barão de iguape 608
11 944990878","São Paulo, SP, Brasil",Aluguel de quartos em república ,430,2020-11-27 13:49:10.1752659,2020-11-27 14:02:37.1786988,Published,0,891,0,-23.5505199,-46.6333094,0
Kitnet vila familiar  muito segura toda nova reformada ,"Rua Basílio de Brito - Cachambi, Rio de Janeiro - RJ, Brasil",Kitnet vila,1000,2020-11-27 22:33:14.5609586,,Inactive,0,0,0,-22.8891699,-43.270174,0
"suite completa inga, aceitamos fumantes possuimos quadram poliesportiva","Ingá, Niterói - RJ, Brasil","Suite Ingá 1200,00",1200,2020-11-28 13:59:00.5267135,,Inactive,0,0,1,-22.9038413,-43.1222477,0
"Fala Pessoal;

Tenho 1 quarto individual masculino. 

Apartamento super bem equipado, todo mobiliado, com máquina de lavar, microondas, armários, geladeira,utensílios de cozinha, mesa e Internet - Wi Fi e faxineira 4 vezes ao mês.

Só entrar e morar.

* O Condomínio Chacará do Ingá; com portaria 24hrs, piscina e play em um lugar seguro e muito bem localizado em Niterói.

O Condomínio é perto de supermercados, farmácias, lanchonetes, padarias, principais Bancos ,academias, pontos de ônibus para outros bairros de Niterói e para o RJ também, perto das faculdades ''UFFS'' ,e as demais, e uns 7 minutos a pé do Plazza Shopping e uma quadra da praia, pertinho do MAC.

Ótima Localização.

OBS 1: Permitido receber visitas, mas é claro exige a lei do bom senso e o respeito com todos, ambiente super tranquilo, e sem regras malucas. Um ambiente super tranquilo para estudar, e ótimo para se morar.

Marque sua visita, venha conhecer.

Qualquer dúvida ou maiores informações só falar comigo inbox ou whats (21) 96550-0103 Obrigado","Rua Justina Bulhões - Ingá, Niterói - RJ, Brasil",Quarto Individual Masculino,900,2020-11-28 14:59:29.1885506,2020-11-28 15:07:20.4129342,Deleted,2,427,1,-22.9037811,-43.1210328,2
123,Rio-de-Janeiro,test1,1000,2020-12-02 05:42:44.1219395,2020-12-06 17:22:06.6171797,Deleted,0,4,0,-22.9068467,-43.1728965,0
"Um lugar tranquilo, um condomínio universitário que deseja silêncio, paz e sossego para  concluir seus estudos.","Niterói, RJ, Brasil",Apartamento mobiliado e Suíte mobiliada - Vaga para moças,1000,2020-12-02 17:07:20.9957792,2020-12-02 17:21:17.3669796,Published,0,2309,1,-22.8859267,-43.1152587,0
"Olá ,no começo do próximo mês teremos um quarto disponível na nossa casa a 5 minutos do metro Ana Rosa e a casa fica na rua do bar Veloso .

A casa está toda mobiliada ,aconchegante temos varanda frontal com rede e churrasqueira e pátio .

# quarto sem janela #

O quarto está mobiliado com cama box de casal,guarda roupa e escrivaninha .","Rua Conceição Veloso - Vila Mariana, São Paulo - SP, Brasil",Quarto individual metro Ana Rosa ,1020,2020-12-02 20:54:10.1626911,2020-12-02 21:04:14.3534457,Published,0,783,0,-23.584856,-46.6349608,0
"Olá ,estamos com quarto disponível no nosso apartamento de meninas a 5 minutos do metro paraiso .

O prédio possui portaria 24 horas e elevador ,e fica na rua Apeninos e nas proximidades temos faculdade Unip ,restaurantes,padarias ,supermercado.

O apartamento está todo mobiliado,quarto possui boa iluminação,espaçoso e está mobiliado com cama box de casal e guarda roupa .

O apartamento possui dois quartos ,temos só um quarto disponível .","Rua Apeninos - Liberdade, São Paulo - SP, Brasil",Quarto individual metro paraiso ,1300,2020-12-02 21:11:44.2601965,2020-12-02 21:14:50.1164330,Published,0,782,1,-23.5727455,-46.6392097,0
"Quartos individuais,  região de excelente padrão prox ao Centro,  Mackenzie,  Puc, shopping, mercados, botecos,  padarias, etc
Prox metrô marechal Deodoro (9 minutos a pé até metrô e 10 minutos de metrô até Av Paulista).
República para jovens e estudantes,  sistema pagou morou. A partir de 550,00 mensais. Contato 11952796037","São Paulo, SP, Brasil","Higienópolis,  quartos individuais ",550,2020-12-02 21:12:58.6365263,2020-12-02 21:21:58.5333412,Published,0,881,0,-23.5505199,-46.6333094,0
Suite completa em Copacabana ,"Copacabana, Rio de Janeiro - RJ, Brasil",Suite em Copacabana ,1800,2020-12-03 15:45:48.3139776,2020-12-03 15:57:18.5991370,Published,1,868,1,-22.9694417,-43.1868448,1
"Olá, alugo um quarto individual no meu apartamento pra entrada imediata. procuro uma menina tranquila e organizada. prezo pela boa convivência e bom senso, sem regras malucas.

o quarto já tem cortinas, uma cama de solteiro, e um criado mudo. o apartamento já está todo mobiliado.  

O Condomínio é perto de Supermercados, Farmácias, Padaria ,Restaurantes, Bancos e Academia.
Tem pontos de vans e ônibus .

Valor: 600,00 com todas as contas inclusas, que são Luz ,Wi-FI, gás e Condomínio.

OBS: não pode animais.

Qualquer dúvidas chamar no inbox

Obrigada!","Curicica - Jacarepaguá, Rio de Janeiro - RJ, Brasil",VAGA INDIVIDUAL FEMININA,600,2020-12-04 00:06:35.2641485,2021-01-15 13:20:35.9933048,Deleted,1,1799,1,-22.9501487,-43.390541,1
"VAGAS EM REPUBLICA NA CIDADE UNIVERSITÁRIA - (BARÃO GERALDO )

* Casa Toda Mobiliada 
*Quarto individual com cama, ou suite para duas pessoas.
*Ampla sala de estar e sala de jantar com mesa, cadeiras, sofá e armário.
*Cozinha com panelas, copos, talheres, 2 geladeiras, Micro-ondas, cafeteiras, filtro purificador de agua e fogão.
*Lavanderia com tanque e máquina de lavar
*Banheiro coletivo e individual (Suite)
*Excelente Lugar Arborizado, Perto de Tudo (Supermercados /Bancos/ etc).
*Vagas de garagem
Fica na Rua: Catharina Signori Vicentim  

Contato  (19) 9 9293-6242 com Joel
","Rua Catharina Signori Vicentin - Cidade Universitária, Campinas - SP, Brasil",VAGAS EM REPUBLICA NA CIDADE UNIVERSITÁRIA - (BARÃO GERALDO ),0,2020-12-04 01:08:21.1840296,2020-12-04 01:17:44.3213974,Published,2,224,0,-22.8249687,-47.0758795,2
"Alugo suite individual no inga, com vc serão três meninas dividindo um imóvel, cada uma em sua suite. 800.09( água, luz e internet inclusos)","Ingá, Niterói - RJ, Brasil",Suite individual feminina,800,2020-12-04 22:55:28.9193275,2020-12-05 00:49:50.4945552,Published,1,1012,0,-22.9038413,-43.1222477,1
qqwwdqd,Rio-de-Janeiro,ewqeqwe,123,2020-12-05 01:48:17.5986678,,Inactive,0,4,0,-22.9068467,-43.1728965,0
fddfdffd,Rio-de-Janeiro,dffddfdf,1000,2020-12-06 17:07:25.8219937,,Deleted,0,1,0,-22.9068467,-43.1728965,0
asdd,Rio-de-Janeiro,asdasdas,1000,2020-12-06 21:35:11.3317228,,Deleted,0,0,0,-22.9068467,-43.1728965,0
sdfdsfsdf,Rio-de-Janeiro,test1,1000,2020-12-07 19:55:11.0458435,2020-12-07 20:31:55.1204125,Inactive,0,1,0,-22.9068467,-43.1728965,0
